INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,CCUGPROF,ADM_RATE,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UG_NRA,UG_UNKN,UG_WHITENH,UG_BLACKNH,UG_API,UG_AIANOLD,UG_HISPOLD,COSTT4_A,COSTT4_P,PCTFLOAN,GRAD_DEBT_MDN,FEMALE,MEDIAN_HH_INC,UGDS_MEN,UGDS_WOMEN,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_HISPANIC,PCT_BA,PCT_GRAD_PROF,PCT_BORN_US,MD_EARN_WNE_P10,MD_EARN_WNE_P6,TRANS_4,CONTROL,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD
Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,10,0.6538,850,0.0446,0.0023,0.0094,0,0,0.0164,0.0634,0,0.1268,0.1432,0.0587,0,0.0188,0,0.0235,0.0423,0,0.1009,0.0094,0,0,0,0,0,0.0188,0,0.0282,0.0282,0.0516,0.0399,0,0,0,0,0.0258,0,0.1479,0,4505,0.0388,0.0014,0.0459,0.9055,0.003,0.0027,0.0027,20809,NULL,0.8159,35000,0.547242712,49720.22,0.4617,0.5383,46.84000015,47.97999954,1.480000019,3.789999962,13,6.860000134,94.73999786,29900,23100,0.4012,1,0.034,0.9216,0.0058,0.0018,0.0022,0.0018,0,0.0062,0.0266,0.0272,0.9543,0.0025,0.002,0.0033
University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.50223,-86.80917,9,0.6043,1147,0,0,0,0.0009,0.0426,0,0.0133,0,0.0815,0.0577,0,0.0069,0,0,0.0192,0.0179,0,0.0715,0.0124,0,0,0,0.0073,0,0.0174,0,0.087,0.0366,0.0238,0.0408,0,0,0,0,0.0376,0.2231,0.1837,0.0188,11269,0.0331,0.0266,0.6124,0.2861,0.0286,0.0031,0.0101,22232,NULL,0.5218,21500,0.636968353,55735.22,0.4116,0.5884,69.01999664,27.76000023,1.100000024,2.029999971,15.93000031,8.550000191,96.5,40200,34000,0.2423,1,0.5863,0.2541,0.0317,0.0595,0.0023,0.0006,0.0389,0.0181,0.0085,0.607,0.2624,0.0419,0.0048,0.0183
Amridge University,Montgomery,AL,36117-3553,32.362609,-86.17401,5,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0.2453,0,0,0.0566,0,0,0,0,0,0,0,0.1698,0,0,0,0.1321,0,0,0,0,0,0,0,0,0.3962,0,308,0,0,0.6837,0.2347,0.0204,0,0.0612,12133,NULL,0.8781,23000,0.604395604,53683.7,0.4286,0.5714,70.87999725,22.53000069,1.289999962,6.940000057,13.22999954,7.010000229,94.08999634,40100,33200,0.4,2,0.211,0.3409,0.0195,0,0,0.0032,0,0,0.4253,0.4602,0.383,0.0129,0.0026,0.0463
University of Alabama in Huntsville,Huntsville,AL,35899,34.722818,-86.63842,9,0.812,1221,0,0,0,0,0.0216,0,0.0315,0,0.0216,0.3027,0,0.0162,0,0,0.0126,0,0,0.0712,0.0198,0,0.0009,0,0.0072,0,0.0216,0,0.0171,0,0,0.0189,0,0,0,0,0.0288,0.1892,0.2072,0.0117,5829,0.041,0.0487,0.6912,0.1435,0.0366,0.0205,0.0186,20999,NULL,0.4589,23500,0.477920883,58688.62,0.574,0.426,76.37999725,18.97999954,1.419999957,2.549999952,17.67000008,8.909999847,95.26999664,45600,35500,0.3178,1,0.7024,0.123,0.0417,0.0381,0.013,0,0.0201,0.0317,0.03,0.7262,0.1469,0.029,0.017,0.024
Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,10,0.4639,844,0,0,0,0,0.0945,0,0.0567,0,0.1531,0,0,0,0,0,0.0284,0,0,0.0794,0.0302,0,0,0.0151,0,0,0.0265,0,0.0624,0.1342,0.0548,0.0151,0,0,0,0,0.0473,0.0926,0.0983,0.0113,4740,0.003,0.0313,0.0435,0.9172,0.0018,0.0005,0.0028,18100,NULL,0.7692,32091,0.612294094,46065.2,0.385,0.615,42.68999863,52.31999969,1.409999967,4.090000153,11.81000042,6.760000229,94.52999878,26700,21000,0,1,0.0165,0.9251,0.0116,0.0032,0.0008,0.0006,0.0114,0.0209,0.0099,0,0,0,0,0
The University of Alabama,Tuscaloosa,AL,35487-0166,33.2144,-87.545766,14,0.5359,1181,0,0.0039,0,0.0035,0.107,0,0.0067,0,0.0696,0.0788,0,0.0071,0.0714,0,0.0164,0,0,0.0378,0.0083,0,0.0256,0,0.0041,0,0.0095,0,0.035,0.0286,0.0102,0.0364,0,0,0,0,0.0295,0.1065,0.2886,0.0155,31005,0.0244,0,0.8053,0.145,0.0105,0.0061,0.0086,27205,NULL,0.4059,23750,0.607564495,57928.41,0.4525,0.5475,75.34999847,21.05999947,1.200000048,2.410000086,16.47999954,9.210000038,96.08000183,42700,34800,0.2215,1,0.7807,0.1092,0.0399,0.0113,0.0035,0.0009,0.0271,0.0245,0.0029,0.8349,0.1175,0.0111,0.0057,0.022
Central Alabama Community College,Alexander City,AL,35010,32.924429,-85.94653,2,NULL,NULL,0,0,0,0,0,0,0.0189,0.022,0,0,0.044,0,0,0,0,0.3742,0,0,0,0,0.0346,0,0,0,0,0,0,0,0,0,0,0.022,0.0849,0,0,0.2453,0.1541,0,1546,0.0044,0.0013,0.773,0.208,0.0038,0.0051,0.0044,11475,NULL,0.3574,9388,0.593531469,43985.14,0.4017,0.5983,71.51000214,26.89999962,0.219999999,1.00999999,7.96999979,4.550000191,98.84999847,27200,23500,NULL,1,0.7141,0.26,0.0123,0.0045,0.0019,0,0.0032,0.0019,0.0019,0,0,0,0,0
Athens State University,Athens,AL,35611,34.805625,-86.96514,5,NULL,NULL,0,0,0,0,0,0,0.0501,0,0.2303,0,0,0,0,0,0.0363,0.0551,0,0.015,0.0225,0,0.015,0.0088,0.01,0,0.005,0,0.0325,0.0263,0,0.0288,0,0,0,0,0.0263,0.01,0.4205,0.0075,2904,0,0.0162,0.8392,0.1187,0.0056,0.0165,0.0038,NULL,NULL,0.6512,18534,0.68673927,50752.1,0.3485,0.6515,83.88999939,12.26000023,0.649999976,2.400000095,11.89000034,6.170000076,96.95999908,38500,32900,NULL,1,0.7817,0.1185,0.0189,0.0062,0.0152,0.0007,0.0189,0.0055,0.0344,0,0,0,0,0
Auburn University at Montgomery,Montgomery,AL,36117-3596,32.369939,-86.177351,9,0.7871,990,0,0.0017,0,0,0.0588,0,0,0,0.079,0,0,0.0067,0,0,0.0319,0.037,0,0.0571,0.0067,0,0,0.0336,0,0,0.0235,0,0.0387,0.0471,0,0.0336,0,0,0,0,0.0286,0.2555,0.2471,0.0134,4142,0.0088,0.0068,0.6318,0.3189,0.0178,0.0046,0.0112,18665,NULL,0.5584,22192.5,0.68389753,50723.81,0.3595,0.6405,59.97000122,37.20999908,0.910000026,1.620000005,14.72000027,9.090000153,96.84999847,33500,29900,0.4769,1,0.5355,0.351,0.007,0.0241,0.0051,0.0017,0.0316,0.0316,0.0123,0.5896,0.3166,0.0156,0.0049,0.012
Auburn University,Auburn,AL,36849,32.604685,-85.482782,15,0.7766,1218,0.0433,0.0152,0.0175,0,0.0533,0,0.0066,0,0.0939,0.1741,0,0.0135,0.0331,0,0.0155,0,0,0.0873,0.0091,0,0.0223,0,0.0015,0,0.0135,0,0.0329,0,0.0214,0.0407,0,0,0,0,0.0367,0.0575,0.1989,0.0122,21551,0.0086,0.0014,0.896,0.0694,0.0116,0.0047,0.0083,29164,NULL,0.347,21500,0.520596312,59005.4,0.5095,0.4905,75.90000153,19.79999924,1.649999976,2.890000105,17.93000031,10.81999969,94.91999817,47100,37500,0.1872,1,0.842,0.0671,0.0323,0.025,0.0063,0.0001,0.0057,0.0131,0.0085,0.86,0.0776,0.0182,0.0064,0.0218
